t,dt,x,y,delta,speed,location,dialog_open,bag_open,target,panel_size,event
0.00,0.000,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
0.05,0.050,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
0.10,0.051,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
0.15,0.050,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
0.20,0.050,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
0.25,0.050,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
0.30,0.050,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
0.35,0.051,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
0.40,0.051,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
0.45,0.051,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
0.51,0.051,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
0.56,0.051,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
0.61,0.051,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
0.66,0.050,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
0.71,0.051,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
0.76,0.051,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
0.81,0.050,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
0.86,0.051,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
0.91,0.051,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
0.96,0.050,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
1.01,0.051,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
1.06,0.050,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
1.11,0.050,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
1.16,0.051,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
1.21,0.051,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
1.26,0.050,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
1.31,0.051,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
1.36,0.051,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
1.42,0.051,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
1.47,0.051,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
1.52,0.051,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
1.57,0.050,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
1.62,0.051,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
1.67,0.050,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
1.72,0.051,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
1.77,0.051,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
1.82,0.051,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
1.87,0.050,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
1.92,0.051,1385,-591,0.0,0.0,Ghost Din Woods,0,0,,0,
1.97,0.051,1385,-592,1.0,19.8,Ghost Din Woods,0,0,,0,
2.02,0.050,1385,-592,0.0,0.0,Ghost Din Woods,0,0,,0,
2.07,0.051,1385,-593,1.0,19.8,Ghost Din Woods,0,0,,0,
2.12,0.051,1386,-593,1.0,19.8,Ghost Din Woods,0,0,,0,
2.17,0.050,1386,-594,1.0,19.8,Ghost Din Woods,0,0,,0,
2.22,0.051,1386,-595,1.0,19.7,Ghost Din Woods,0,0,,0,
2.28,0.051,1386,-595,0.0,0.0,Ghost Din Woods,0,0,,0,
