t,dt,x,y,delta,speed,location,dialog_open,bag_open,target,panel_size,event
0.00,0.000,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
0.05,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
0.10,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
0.15,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
0.20,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
0.25,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
0.30,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
0.35,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
0.40,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
0.45,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
0.51,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
0.56,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
0.61,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
0.66,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
0.71,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
0.76,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
0.81,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
0.86,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
0.91,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
0.96,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
1.01,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
1.06,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
1.11,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
1.16,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
1.21,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
1.26,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
1.31,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
1.36,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
1.41,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
1.46,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
1.51,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
1.56,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
1.61,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
1.67,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
1.72,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
1.77,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
1.82,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
1.87,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
1.92,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
1.97,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
2.02,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
2.07,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
2.12,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
2.17,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
2.22,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
2.27,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
2.32,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
2.37,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
2.42,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
2.47,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
2.52,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
2.57,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
2.63,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
2.68,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
2.73,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
2.78,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
2.83,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
2.88,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
2.93,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
2.98,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
3.03,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
3.08,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
3.13,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
3.18,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
3.23,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
3.28,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
3.33,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
3.38,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
3.43,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
3.48,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
3.53,0.050,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
3.58,0.051,423,53,0.0,0.0,Bewitcher Cave,0,0,,0,
