t,x,y,delta,location,dialog_open,bag_open,target,panel_size,event
0.00,276,-510,0.0,Stone City,0,0,,0,
0.80,276,-510,0.0,Stone City,0,0,,0,
0.85,276,-510,0.0,Stone City,0,0,,0,
0.90,276,-510,0.0,Stone City,0,0,,0,
0.95,276,-510,0.0,Stone City,0,0,,0,
1.00,276,-510,0.0,Stone City,0,0,,0,
1.05,276,-510,0.0,Stone City,0,0,,0,
1.10,276,-510,0.0,Stone City,0,0,,0,
1.15,276,-510,0.0,Stone City,0,0,,0,
1.20,276,-510,0.0,Stone City,0,0,,0,
1.25,276,-510,0.0,Stone City,0,0,,0,
1.30,276,-510,0.0,Stone City,0,0,,0,
1.35,276,-510,0.0,Stone City,0,0,,0,
1.40,276,-510,0.0,Stone City,0,0,,0,
1.45,276,-510,0.0,Stone City,0,0,,0,
1.51,276,-510,0.0,Stone City,0,0,,0,
1.56,276,-510,0.0,Stone City,0,0,,0,
1.61,276,-510,0.0,Stone City,0,0,,0,
1.66,276,-510,0.0,Stone City,0,0,,0,
1.71,276,-510,0.0,Stone City,0,0,,0,
1.76,276,-510,0.0,Stone City,0,0,,0,
1.81,276,-510,0.0,Stone City,0,0,,0,
1.86,276,-510,0.0,Stone City,0,0,,0,
1.91,276,-510,0.0,Stone City,0,0,,0,
1.96,276,-510,0.0,Stone City,0,0,,0,
2.01,276,-510,0.0,Stone City,0,0,,0,
2.68,276,-510,0.0,Stone City,0,0,,0,
2.73,276,-510,0.0,Stone City,0,0,,0,
2.78,276,-510,0.0,Stone City,0,0,,0,
2.84,276,-510,0.0,Stone City,0,0,,0,
2.89,276,-510,0.0,Stone City,0,0,,0,
2.94,276,-510,0.0,Stone City,0,0,,0,
2.99,276,-510,0.0,Stone City,0,0,,0,
3.04,276,-510,0.0,Stone City,0,0,,0,
3.09,276,-510,0.0,Stone City,0,0,,0,
3.14,276,-510,0.0,Stone City,0,0,,0,
3.19,276,-510,0.0,Stone City,0,0,,0,
3.24,276,-510,0.0,Stone City,0,0,,0,
3.29,276,-510,0.0,Stone City,0,0,,0,
3.34,276,-510,0.0,Stone City,0,0,,0,
3.39,276,-510,0.0,Stone City,0,0,,0,
3.44,276,-510,0.0,Stone City,0,0,,0,
3.49,276,-510,0.0,Stone City,0,0,,0,
3.54,276,-510,0.0,Stone City,0,0,,0,
